GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US420710106002,420710106002,"Block Group 2, Census Tract 106, Lancaster County, Pennsylvania",3977,738,3787,745,90,101,0,10,23,30,0,10,77,93,0,10,0,10,0,10
1500000US420710106003,420710106003,"Block Group 3, Census Tract 106, Lancaster County, Pennsylvania",1409,454,1409,454,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710106004,420710106004,"Block Group 4, Census Tract 106, Lancaster County, Pennsylvania",2387,468,2179,479,0,10,0,10,28,43,0,10,136,120,44,68,0,10,44,68
1500000US420710106005,420710106005,"Block Group 5, Census Tract 106, Lancaster County, Pennsylvania",2017,471,2017,471,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710107011,420710107011,"Block Group 1, Census Tract 107.01, Lancaster County, Pennsylvania",545,163,518,164,27,43,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710107012,420710107012,"Block Group 2, Census Tract 107.01, Lancaster County, Pennsylvania",1100,310,1074,321,10,17,0,10,0,10,0,10,0,10,16,25,0,10,16,25
1500000US420710107013,420710107013,"Block Group 3, Census Tract 107.01, Lancaster County, Pennsylvania",1110,437,1110,437,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710107014,420710107014,"Block Group 4, Census Tract 107.01, Lancaster County, Pennsylvania",1475,343,1358,322,0,10,0,10,83,62,0,10,0,10,34,53,0,10,34,53
1500000US420710107015,420710107015,"Block Group 5, Census Tract 107.01, Lancaster County, Pennsylvania",1651,360,1494,332,98,149,0,10,59,73,0,10,0,10,0,10,0,10,0,10
1500000US420710107021,420710107021,"Block Group 1, Census Tract 107.02, Lancaster County, Pennsylvania",1735,255,1635,263,77,89,0,10,10,15,0,10,0,10,13,22,0,10,13,22
1500000US420710107022,420710107022,"Block Group 2, Census Tract 107.02, Lancaster County, Pennsylvania",2761,286,2313,280,114,50,0,10,248,197,0,10,28,27,58,47,8,15,50,45
1500000US420710107023,420710107023,"Block Group 3, Census Tract 107.02, Lancaster County, Pennsylvania",1221,203,1176,199,0,10,13,20,0,10,0,10,0,10,32,27,0,10,32,27
1500000US420710108011,420710108011,"Block Group 1, Census Tract 108.01, Lancaster County, Pennsylvania",2554,345,2524,343,0,10,0,10,0,10,0,10,0,10,30,46,30,46,0,10
1500000US420710108012,420710108012,"Block Group 2, Census Tract 108.01, Lancaster County, Pennsylvania",2759,436,2707,432,51,33,0,10,0,10,0,10,1,4,0,10,0,10,0,10
1500000US420710108013,420710108013,"Block Group 3, Census Tract 108.01, Lancaster County, Pennsylvania",1556,329,1539,326,0,10,0,10,17,26,0,10,0,10,0,10,0,10,0,10
1500000US420710108014,420710108014,"Block Group 4, Census Tract 108.01, Lancaster County, Pennsylvania",1726,454,1698,447,7,14,0,10,21,33,0,10,0,10,0,10,0,10,0,10
1500000US420710108021,420710108021,"Block Group 1, Census Tract 108.02, Lancaster County, Pennsylvania",1887,243,1864,241,0,10,0,10,16,23,0,10,0,10,7,12,0,10,7,12
1500000US420710108022,420710108022,"Block Group 2, Census Tract 108.02, Lancaster County, Pennsylvania",1504,244,1504,244,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710109001,420710109001,"Block Group 1, Census Tract 109, Lancaster County, Pennsylvania",1800,329,1702,328,16,27,0,10,10,17,0,10,0,10,72,83,0,10,72,83
1500000US420710109002,420710109002,"Block Group 2, Census Tract 109, Lancaster County, Pennsylvania",2519,429,2221,370,140,147,0,10,0,10,0,10,21,37,137,144,0,10,137,144
1500000US420710109003,420710109003,"Block Group 3, Census Tract 109, Lancaster County, Pennsylvania",1002,308,711,214,216,238,0,10,15,24,0,10,47,73,13,21,13,21,0,10
1500000US420710109004,420710109004,"Block Group 4, Census Tract 109, Lancaster County, Pennsylvania",2657,416,2393,410,28,31,0,10,18,21,0,10,68,75,150,162,23,35,127,159
1500000US420710110001,420710110001,"Block Group 1, Census Tract 110, Lancaster County, Pennsylvania",1456,163,1371,167,52,36,0,10,0,10,0,10,6,9,27,34,0,10,27,34
1500000US420710110002,420710110002,"Block Group 2, Census Tract 110, Lancaster County, Pennsylvania",1145,165,1104,157,28,30,0,10,0,10,0,10,0,10,13,13,0,10,13,13
1500000US420710111001,420710111001,"Block Group 1, Census Tract 111, Lancaster County, Pennsylvania",1178,371,1138,370,18,29,0,10,22,38,0,10,0,10,0,10,0,10,0,10
1500000US420710111002,420710111002,"Block Group 2, Census Tract 111, Lancaster County, Pennsylvania",1336,308,1321,307,0,10,0,10,0,10,0,10,0,10,15,23,0,10,15,23
1500000US420710111003,420710111003,"Block Group 3, Census Tract 111, Lancaster County, Pennsylvania",3145,507,3041,499,57,65,0,10,27,45,0,10,0,10,20,32,0,10,20,32
1500000US420710111004,420710111004,"Block Group 4, Census Tract 111, Lancaster County, Pennsylvania",2486,548,2345,555,0,10,0,10,18,29,0,10,50,62,73,71,0,10,73,71
1500000US420710112001,420710112001,"Block Group 1, Census Tract 112, Lancaster County, Pennsylvania",1771,202,1384,198,233,110,0,10,15,18,0,10,64,53,75,47,0,10,75,47
1500000US420710113001,420710113001,"Block Group 1, Census Tract 113, Lancaster County, Pennsylvania",1747,255,1630,266,81,90,0,10,25,38,0,10,0,10,11,16,0,10,11,16
1500000US420710113002,420710113002,"Block Group 2, Census Tract 113, Lancaster County, Pennsylvania",1565,310,1294,245,224,231,0,10,13,22,0,10,0,10,34,51,0,10,34,51
1500000US420710113003,420710113003,"Block Group 3, Census Tract 113, Lancaster County, Pennsylvania",1172,307,1141,310,31,48,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710114001,420710114001,"Block Group 1, Census Tract 114, Lancaster County, Pennsylvania",843,286,813,286,19,30,0,10,0,10,0,10,0,10,11,17,0,10,11,17
1500000US420710114002,420710114002,"Block Group 2, Census Tract 114, Lancaster County, Pennsylvania",1598,291,1531,276,40,58,0,10,0,10,0,10,0,10,27,43,0,10,27,43
1500000US420710114003,420710114003,"Block Group 3, Census Tract 114, Lancaster County, Pennsylvania",1686,340,1224,324,290,131,0,10,0,10,0,10,0,10,172,153,0,10,172,153
1500000US420710115021,420710115021,"Block Group 1, Census Tract 115.02, Lancaster County, Pennsylvania",1854,373,1770,363,24,38,0,10,0,10,0,10,0,10,60,47,0,10,60,47
1500000US420710115022,420710115022,"Block Group 2, Census Tract 115.02, Lancaster County, Pennsylvania",2649,518,2368,540,89,88,0,10,23,36,0,10,0,10,169,176,109,145,60,91
1500000US420710115023,420710115023,"Block Group 3, Census Tract 115.02, Lancaster County, Pennsylvania",2045,384,1944,370,18,28,0,10,0,10,0,10,0,10,83,91,18,30,65,87
1500000US420710115031,420710115031,"Block Group 1, Census Tract 115.03, Lancaster County, Pennsylvania",1818,348,1783,338,0,10,0,10,19,32,0,10,16,28,0,10,0,10,0,10
1500000US420710115032,420710115032,"Block Group 2, Census Tract 115.03, Lancaster County, Pennsylvania",1219,307,1181,302,19,32,0,10,0,10,0,10,19,32,0,10,0,10,0,10
1500000US420710115033,420710115033,"Block Group 3, Census Tract 115.03, Lancaster County, Pennsylvania",1419,310,1143,306,211,313,0,10,65,61,0,10,0,10,0,10,0,10,0,10
1500000US420710115034,420710115034,"Block Group 4, Census Tract 115.03, Lancaster County, Pennsylvania",649,229,623,239,5,11,0,10,0,10,0,10,0,10,21,36,0,10,21,36
1500000US420710115041,420710115041,"Block Group 1, Census Tract 115.04, Lancaster County, Pennsylvania",2764,369,2661,371,49,60,0,10,54,59,0,10,0,10,0,10,0,10,0,10
1500000US420710115042,420710115042,"Block Group 2, Census Tract 115.04, Lancaster County, Pennsylvania",3204,385,2969,378,61,96,0,10,0,10,0,10,140,114,34,51,34,51,0,10
1500000US420710115043,420710115043,"Block Group 3, Census Tract 115.04, Lancaster County, Pennsylvania",1632,304,1363,319,104,143,63,98,53,59,0,10,49,79,0,10,0,10,0,10
1500000US420710116001,420710116001,"Block Group 1, Census Tract 116, Lancaster County, Pennsylvania",1652,409,1652,409,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710116002,420710116002,"Block Group 2, Census Tract 116, Lancaster County, Pennsylvania",1022,197,1022,197,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710116003,420710116003,"Block Group 3, Census Tract 116, Lancaster County, Pennsylvania",1819,283,1726,286,39,51,0,10,27,41,0,10,0,10,27,31,0,10,27,31
1500000US420710116004,420710116004,"Block Group 4, Census Tract 116, Lancaster County, Pennsylvania",1879,306,1693,303,23,35,0,10,101,101,0,10,62,113,0,10,0,10,0,10
1500000US420710117011,420710117011,"Block Group 1, Census Tract 117.01, Lancaster County, Pennsylvania",1656,283,1293,282,27,27,98,112,114,113,0,10,68,83,56,57,0,10,56,57
1500000US420710117012,420710117012,"Block Group 2, Census Tract 117.01, Lancaster County, Pennsylvania",1911,277,1858,286,11,23,0,10,0,10,0,10,14,23,28,43,0,10,28,43
1500000US420710117013,420710117013,"Block Group 3, Census Tract 117.01, Lancaster County, Pennsylvania",1167,310,1026,282,35,51,0,10,15,25,0,10,19,29,72,80,0,10,72,80
1500000US420710117031,420710117031,"Block Group 1, Census Tract 117.03, Lancaster County, Pennsylvania",1059,261,972,240,16,25,0,10,0,10,0,10,0,10,71,74,30,40,41,45
1500000US420710117032,420710117032,"Block Group 2, Census Tract 117.03, Lancaster County, Pennsylvania",1938,304,1746,264,73,114,0,10,59,93,0,10,44,70,16,24,0,10,16,24
1500000US420710117033,420710117033,"Block Group 3, Census Tract 117.03, Lancaster County, Pennsylvania",2914,435,2789,430,2,5,0,10,123,184,0,10,0,10,0,10,0,10,0,10
1500000US420710117034,420710117034,"Block Group 4, Census Tract 117.03, Lancaster County, Pennsylvania",1801,317,1777,309,0,10,0,10,24,37,0,10,0,10,0,10,0,10,0,10
